公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
同程网络科技股份有限公司,同程艺龙,2000人以上,D轮及以上,朝阳区,Java高级工程师-商品库/促销,3-5年,本科,27k-35k,大企业
北京易数科技有限公司,GrowingIO,150-500人,A轮,朝阳区,运维开发工程师,3-5年,本科,20k-35k,技术驱动、期权激励
北京红赢科技有限公司,红赢科技,50-150人,不需要融资,海淀区,高级Java开发工程师,5-10年,本科,25k-50k,"五险一金,全勤奖金,周末双休,免费零食"
北京千橡网景科技发展有限公司,人人网,2000人以上,上市公司,朝阳区,java 工程师,3-5年,本科,10k-20k,上市公司 弹性工作制 六险一金
北京五八到家信息技术有限公司,58到家,50-150人,天使轮,朝阳区,前端开发工程师,1-3年,本科,13k-25k,"核心团队,发展空间大,技术高挑战,福利待遇好"
贝壳找房（北京）科技有限公司,贝壳,2000人以上,C轮,海淀区,JAVA高级工程师,5-10年,本科,20k-40k,"六险一金,带薪年假,免费班车,免费三餐"
智车优行科技（北京）有限公司,奇点汽车,150-500人,C轮,朝阳区,双目视觉研发工程师,不限,硕士,15k-30k,智能驾驶是汽车行业的未来
混沌时代（北京）教育科技有限公司,混沌大学,150-500人,不需要融资,海淀区,数据开发工程师,3-5年,本科,20k-40k,"弹性工作,六险一金,子女福利,员工体检"
北京领创智信科技有限公司,北京领创智信科技有限公司,500-2000人,B轮,朝阳区,算法工程师,3-5年,本科,25k-35k,"高能团队,发展空间,优质福利,鼓励创新"
北京图森智途科技有限公司,图森未来,150-500人,C轮,朝阳区,高性能计算工程师,应届毕业生,本科,25k-40k,"行业前沿,大牛云集,发展空间大,薪酬福利好"
北京浩瀚深度信息技术股份有限公司,浩瀚深度,150-500人,上市公司,海淀区,系统运维工程师,1-3年,本科,10k-18k,福利待遇、发展前景、人文环境
高德软件有限公司,阿里巴巴-高德,2000人以上,上市公司,朝阳区,高德-高级测试开发工程师-服务端,3-5年,本科,15k-30k,股票期权
北京多来点信息技术有限公司,哗啦啦,500-2000人,不需要融资,西城区,算法工程师,1-3年,本科,25k-35k,五险一金 年终奖金 带薪年假 节日福利
北京金山软件有限公司,金山办公软件,2000人以上,上市公司,海淀区,JAVA后台开发工程师,不限,本科,15k-30k,14-15薪，免费三餐，六险一金，健身房等
海马云（天津）信息技术有限公司,海马云,150-500人,C轮,朝阳区,业务监控和数据分析工程师,3-5年,本科,15k-25k,"技术大牛,团队氛围,年终奖金,晋升平台"
重庆誉存大数据科技有限公司,誉存科技,50-150人,A轮,东城区,爬虫工程师,1-3年,本科,10k-15k,大数据、数据挖掘、数据分析
北京善义善美科技有限公司,人人车,2000人以上,D轮及以上,朝阳区,机器学习平台开发工程师,3-5年,本科,25k-50k,团队氛围好；技术牛
大鱼快乐有限公司,阿里文娱,2000人以上,上市公司,朝阳区,离线系统研发工程师-国内信息流,3-5年,本科,30k-60k,"技术氛围好,面试流程快,待遇特别好"
上海景驰汽车科技有限公司,景驰,50-150人,天使轮,海淀区,全栈工程师,3-5年,不限,20k-40k,"前沿科技,福利多多"
北京小米科技有限责任公司,小米,2000人以上,D轮及以上,海淀区,Java服务端工程师-小米音乐,3-5年,本科,20k-35k,优秀团队、千万DAU
新华世纪电子商务有限公司,新华电商,50-150人,上市公司,大兴区,前端开发组长,5-10年,本科,15k-25k,六险一金、七小时工作、丰厚年终、氛围好
北京车之家信息技术有限公司,汽车之家,2000人以上,上市公司,海淀区,Java高级开发工程师,5-10年,本科,14k-20k,"16薪,出国游,和业务紧密"
华夏信财互联网金融信息服务（上海）有限公司,华夏信财,2000人以上,A轮,朝阳区,高级前端工程师,3-5年,本科,25k-35k,"区块链,大牛团队"
北京金山软件有限公司,金山办公软件,2000人以上,上市公司,海淀区,JAVA后台开发工程师,不限,本科,15k-30k,14-15薪，免费三餐，六险一金，健身房等
银客未来科技（北京）有限公司,INK 银客集团,500-2000人,C轮,海淀区,高级运维工程师（基础架构）,5-10年,不限,20k-35k,七险一金 绩效奖金 弹性工作制
北京音娱时光科技有限公司,音娱时光,50-150人,A轮,海淀区,高级后端研发工程师,3-5年,本科,25k-50k,"年底双薪,绩效奖金,带薪年假,股票期权"
互动峰科技(北京)有限公司,好大夫在线,500-2000人,D轮及以上,朝阳区,运维开发工程师,不限,本科,18k-30k,"大公司,大平台,发展机会多,空间大"
家宅融智（北京）科技有限公司,好好住,150-500人,B轮,朝阳区,00042-BI工程师,1-3年,本科,18k-25k,"六险一金,弹性工作,周末双休,定期体检"
北京瓴岳信息技术有限公司,洋钱罐,150-500人,不需要融资,朝阳区,算法工程师,1-3年,硕士,15k-30k,"技术大牛多,年底旅游,弹性工作,下午茶"
互动峰科技(北京)有限公司,好大夫在线,500-2000人,D轮及以上,朝阳区,运维开发工程师,不限,本科,20k-40k,"大公司,大平台,机会多,空间大"
北京智加智行科技有限公司,智加科技,50-150人,A轮,海淀区,算法工程师,1-3年,本科,25k-50k,"人工智能,自动驾驶,风口行业"
北京凌云雀科技有限公司,灵雀云,150-500人,B轮,海淀区,后端开发工程师（Go）,3-5年,本科,15k-30k,"技术领先,团队顶级,项目靠谱,资金充足"
北京合思信息技术有限公司,易快报,150-500人,B轮,海淀区,前端开发工程师-TMC,3-5年,本科,18k-25k,"前景好,成长快,老板好,无天花板"
